Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,48.919998,49.480000,48.290001,48.953335,48.465492,3696600
2022-06-14,49.049999,49.073334,48.060001,48.623333,48.138779,4787400
2022-06-15,48.776669,50.536667,48.746666,49.973331,49.475323,3161400
2022-06-16,49.310001,49.779999,48.753334,49.516666,49.023212,3531300
2022-06-17,49.473331,50.189999,49.200001,49.616669,49.122219,7043100
2022-06-21,50.000000,51.186668,50.000000,50.876667,50.369659,3176100
2022-06-22,50.466667,51.656666,50.000000,51.203335,50.693073,2798400
2022-06-23,51.576668,52.876667,51.413334,52.753334,52.227623,4616400
2022-06-24,53.040001,53.333332,52.610001,53.093334,52.564236,4764000
2022-06-27,53.270000,53.323334,52.503334,52.643333,52.118717,2247000
2022-06-28,52.643333,53.113335,51.520000,51.553333,51.039581,1933200
2022-06-29,51.516666,51.673332,50.630001,51.020000,50.511562,2322300
2022-06-30,50.516666,51.346668,50.330002,50.846668,50.339958,2358000
2022-07-01,50.770000,52.043331,50.663334,51.863335,51.346493,2646900
2022-07-05,51.669998,52.580002,51.200001,52.496666,51.973515,2408700
2022-07-06,52.736668,53.306667,52.163334,52.263332,51.742504,2733600
2022-07-07,52.173332,52.633331,51.930000,52.233334,51.712807,2158800
2022-07-08,52.153332,52.493332,51.793331,52.186668,51.666603,2105400
2022-07-11,52.009998,52.766666,51.806667,52.543331,52.019711,1981800
2022-07-12,52.593334,53.323334,51.439999,51.590000,51.075882,3583500
2022-07-13,50.790001,51.753334,50.773335,51.446667,50.933979,1594200
2022-07-14,50.773335,51.336666,50.513332,51.173332,50.663368,1887600
2022-07-15,51.433334,52.363335,51.433334,52.356667,51.834911,1929000
2022-07-18,52.586666,52.820000,51.430000,51.593334,51.079185,2061300
2022-07-19,52.156666,53.283333,51.983334,53.106667,52.577435,2206800
2022-07-20,54.176666,56.663334,54.166668,56.346668,55.785149,4931700
2022-07-21,56.533333,58.016666,56.143333,58.000000,57.422005,3719700
2022-07-22,58.023335,58.299999,57.160000,57.533333,56.959988,4148700
2022-07-25,57.580002,57.996666,56.926666,57.333332,56.761978,2984100
2022-07-26,56.959999,57.756668,56.666668,57.669998,57.095291,3321000
2022-07-27,57.993332,58.333332,57.606667,57.996666,57.418701,2544000
2022-07-28,58.136665,60.086666,57.973331,59.806667,59.210667,3229200
2022-07-29,59.723331,60.446667,59.560001,60.299999,59.699085,2257500
2022-08-01,59.759998,60.266666,59.430000,59.619999,59.025860,1902600
2022-08-02,59.389999,59.903332,59.063332,59.563332,58.969757,2003400
2022-08-03,59.693333,60.240002,59.459999,60.056667,59.458179,1860000
2022-08-04,60.243332,61.040001,60.216667,60.930000,60.322807,1961100
2022-08-05,60.503334,60.936668,60.139999,60.689999,60.085194,1461300
2022-08-08,60.696667,61.320000,60.583332,60.950001,60.342606,1031400
2022-08-09,60.796665,61.166668,60.669998,61.056667,60.448212,1349700
2022-08-10,61.759998,62.423332,61.680000,62.200001,61.580151,2002500
2022-08-11,62.419998,62.660000,61.980000,62.189999,61.570248,1325400
2022-08-12,62.786667,63.513332,62.410000,63.473331,62.840794,1431900
2022-08-15,63.246666,64.783333,63.000000,63.983334,63.345711,2126100
2022-08-16,63.896667,63.983334,63.156666,63.863335,63.226906,1927800
2022-08-17,63.786667,64.790001,63.639999,64.593330,63.949623,1908000
2022-08-18,64.466667,64.663330,63.536667,64.040001,63.401817,1774200
2022-08-19,63.450001,63.450001,62.119999,62.369999,61.748455,2967900
2022-08-22,62.043331,62.593334,61.686668,61.943333,61.326038,1828500
2022-08-23,61.393333,61.796665,61.043331,61.439999,60.827724,1870200
2022-08-24,61.483334,62.216667,61.439999,62.073334,61.454746,2077500
2022-08-25,62.119999,62.546665,61.866669,62.396667,61.774853,992700
2022-08-26,62.410000,62.566666,60.669998,60.689999,60.085194,1778400
2022-08-29,60.320000,60.820000,59.639999,59.700001,59.105064,1743000
2022-08-30,60.160000,60.450001,59.369999,59.599998,59.006058,2037700
2022-08-31,59.900002,60.259998,59.340000,59.529999,58.936756,3367400
2022-09-01,59.029999,60.060001,58.799999,59.990002,59.392178,1881900
2022-09-02,60.410000,61.250000,59.500000,59.680000,59.085262,1570600
2022-09-06,59.750000,60.660000,59.540001,60.619999,60.015892,1972600
2022-09-07,60.660000,62.459999,60.660000,62.419998,61.797958,1724600
2022-09-08,62.020000,63.139999,61.980000,63.090000,62.461281,2154700
2022-09-09,63.099998,63.580002,63.000000,63.259998,62.629581,1276800
2022-09-12,63.490002,64.129997,63.209999,64.110001,63.471119,1693700
2022-09-13,62.869999,63.029999,61.549999,61.849998,61.233639,1615400
2022-09-14,62.310001,62.860001,61.459999,62.029999,61.411842,1677800
2022-09-15,61.799999,62.209999,61.029999,61.110001,60.696716,1477000
2022-09-16,61.040001,61.150002,60.139999,61.009998,60.597389,3536900
2022-09-19,60.509998,60.830002,60.209999,60.730000,60.319283,1473000
2022-09-20,60.369999,60.570000,58.799999,59.200001,58.799633,1967700
2022-09-21,59.709999,60.419998,58.570000,58.570000,58.173889,1813000
2022-09-22,58.279999,58.369999,56.889999,57.400002,57.011806,1793400
2022-09-23,57.099998,57.279999,56.200001,56.930000,56.544983,1921000
2022-09-26,56.900002,57.139999,56.290001,56.570000,56.187416,1772000
2022-09-27,57.009998,57.310001,56.369999,56.959999,56.574776,1697500
2022-09-28,57.250000,58.590000,56.910000,58.320000,57.925583,2006400
2022-09-29,57.959999,58.029999,56.790001,57.110001,56.723766,2177000
2022-09-30,57.290001,58.040001,56.509998,56.680000,56.296673,2021500
2022-10-03,56.970001,58.400002,56.599998,58.330002,57.935516,1863200
2022-10-04,59.220001,59.970001,59.009998,59.900002,59.494900,1810900
2022-10-05,59.450001,60.299999,58.959999,59.720001,59.316116,1911100
2022-10-06,59.700001,60.400002,59.419998,59.509998,59.107533,1510300
2022-10-07,58.980000,59.099998,57.310001,57.660000,57.270042,1523200
2022-10-10,57.930000,58.000000,57.119999,57.700001,57.309776,1154800
2022-10-11,57.590000,58.709999,57.320000,58.099998,57.707069,1906000
2022-10-12,58.139999,58.250000,57.560001,57.580002,57.190590,1241800
2022-10-13,56.439999,58.680000,55.820000,58.549999,58.154030,2262900
2022-10-14,57.970001,58.209999,54.660000,54.750000,54.379723,3426300
2022-10-17,55.470001,57.400002,55.470001,56.750000,56.366199,2744500
2022-10-18,57.840000,58.130001,56.770000,57.209999,56.823090,2807000
2022-10-19,56.970001,57.470001,55.500000,56.000000,55.621273,2630600
2022-10-20,56.189999,57.119999,55.939999,56.840000,56.455593,2137100
2022-10-21,56.860001,57.849998,56.020000,57.740002,57.349506,2378100
2022-10-24,58.040001,59.480000,57.930000,58.770000,58.372540,1507000
2022-10-25,59.150002,60.680000,59.130001,60.549999,60.140503,2134200
2022-10-26,60.680000,61.160000,59.939999,60.029999,59.624016,2428600
2022-10-27,60.389999,61.450001,60.380001,60.650002,60.239822,1643500
2022-10-28,60.820000,62.330002,60.419998,62.279999,61.858799,1583000
2022-10-31,62.000000,62.520000,61.849998,62.240002,61.819077,2623800
2022-11-01,62.570000,62.970001,61.799999,62.349998,61.928329,1724500
2022-11-02,61.810001,62.750000,60.700001,60.720001,60.309353,1857400
2022-11-03,60.259998,62.209999,60.209999,61.570000,61.153603,1805600
